epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.209,0.79952,1.37254,0.91146,0.23323,0.11324,0.07362,0.05859,1.07286,3.36871,1.17606,5.13067e-05,5.13067e-05,5.13067e-05
2,73.2734,0.81938,1.35348,0.91341,0.20154,0.11598,0.07736,0.06181,1.09752,3.42924,1.20088,0.000102284,0.000102284,0.000102284
3,95.4435,0.80636,1.38862,0.90936,0.16924,0.11614,0.07072,0.05617,1.1243,3.39552,1.19657,0.000152232,0.000152232,0.000152232
4,118.087,0.8384,1.39861,0.91441,0.29219,0.11327,0.08125,0.06428,1.09968,3.37857,1.19792,0.000151367,0.000151367,0.000151367
5,139.696,0.83253,1.40187,0.91813,0.26988,0.08484,0.06749,0.05386,1.13779,3.42285,1.21195,0.000149822,0.000149822,0.000149822
6,161.214,0.84357,1.42006,0.91841,0.20349,0.1059,0.07009,0.05616,1.09871,3.53783,1.19281,0.000148278,0.000148278,0.000148278
7,183.037,0.85095,1.40138,0.92725,0.25705,0.10987,0.07454,0.06126,1.13452,3.41634,1.2275,0.000146734,0.000146734,0.000146734
8,204.473,0.83384,1.38539,0.92035,0.17974,0.11712,0.06912,0.05595,1.1265,3.45642,1.21495,0.000145189,0.000145189,0.000145189
9,226.113,0.83667,1.37386,0.91892,0.1868,0.11691,0.07315,0.05725,1.13037,3.44406,1.21628,0.000143645,0.000143645,0.000143645
10,247.79,0.82526,1.31973,0.91528,0.26546,0.12375,0.07869,0.06172,1.12723,3.43753,1.21515,0.0001421,0.0001421,0.0001421
11,269.77,0.83807,1.35913,0.92217,0.17333,0.12092,0.0842,0.06906,1.11803,3.42899,1.2114,0.000140556,0.000140556,0.000140556
12,291.446,0.81255,1.29488,0.91351,0.43638,0.0662,0.07068,0.0552,1.11673,3.42789,1.20415,0.000139012,0.000139012,0.000139012
13,312.814,0.82646,1.32542,0.91559,0.18674,0.12534,0.06632,0.05068,1.11392,3.37908,1.2124,0.000137467,0.000137467,0.000137467
14,334.039,0.78993,1.26275,0.90963,0.22523,0.10589,0.07333,0.05938,1.12056,3.50813,1.21845,0.000135923,0.000135923,0.000135923
15,355.149,0.83118,1.2843,0.90849,0.27692,0.11365,0.07394,0.05924,1.12454,3.41647,1.22174,0.000134378,0.000134378,0.000134378
16,376.818,0.81154,1.26589,0.91329,0.26207,0.12173,0.07597,0.05744,1.1262,3.52067,1.22135,0.000132834,0.000132834,0.000132834
17,398.274,0.80606,1.22551,0.90567,0.2105,0.1269,0.07475,0.05982,1.13341,3.49959,1.22122,0.00013129,0.00013129,0.00013129
18,419.717,0.81079,1.22708,0.90898,0.30148,0.11437,0.07335,0.05775,1.12936,3.5353,1.21575,0.000129745,0.000129745,0.000129745
19,441.291,0.83303,1.24349,0.90454,0.18833,0.11681,0.07646,0.06148,1.13997,3.49802,1.23931,0.000128201,0.000128201,0.000128201
20,462.881,0.78385,1.21877,0.90427,0.14523,0.12098,0.0739,0.05906,1.13566,3.57282,1.2124,0.000126656,0.000126656,0.000126656
21,484.347,0.79123,1.17179,0.91231,0.28688,0.09428,0.06877,0.05482,1.15679,3.50589,1.23619,0.000125112,0.000125112,0.000125112
22,505.697,0.78225,1.18351,0.90757,0.2775,0.12491,0.08627,0.06529,1.13364,3.55599,1.21992,0.000123568,0.000123568,0.000123568
23,527.563,0.80349,1.19047,0.91137,0.16686,0.12588,0.07435,0.05982,1.11862,3.53452,1.20093,0.000122023,0.000122023,0.000122023
24,549.771,0.80458,1.17987,0.90843,0.1883,0.11087,0.06808,0.05299,1.13853,3.61507,1.21256,0.000120479,0.000120479,0.000120479
25,571.346,0.79658,1.15951,0.89698,0.26536,0.10646,0.07521,0.05834,1.12351,3.56386,1.21538,0.000118934,0.000118934,0.000118934
26,593.313,0.78662,1.12791,0.89597,0.21614,0.12871,0.08548,0.06813,1.1308,3.52784,1.22357,0.00011739,0.00011739,0.00011739
27,614.821,0.78158,1.11652,0.90344,0.22254,0.10334,0.06414,0.0499,1.11547,3.47213,1.20853,0.000115846,0.000115846,0.000115846
28,636.052,0.79293,1.14902,0.90649,0.16638,0.11118,0.074,0.0591,1.12731,3.50144,1.19767,0.000114301,0.000114301,0.000114301
29,657.55,0.79048,1.11892,0.9008,0.18188,0.11067,0.07032,0.05485,1.1439,3.61201,1.2156,0.000112757,0.000112757,0.000112757
30,679.641,0.78945,1.10696,0.90116,0.23048,0.11878,0.07866,0.06212,1.11278,3.54888,1.19845,0.000111212,0.000111212,0.000111212
31,700.81,0.77419,1.09918,0.8989,0.17641,0.13793,0.07407,0.06016,1.11471,3.56274,1.20083,0.000109668,0.000109668,0.000109668
32,722.358,0.78065,1.08727,0.89872,0.3156,0.09335,0.08736,0.07377,1.13987,3.50118,1.2127,0.000108124,0.000108124,0.000108124
33,743.416,0.76679,1.07041,0.89767,0.16271,0.12817,0.07891,0.06438,1.10633,3.58992,1.20282,0.000106579,0.000106579,0.000106579
34,764.617,0.78885,1.06051,0.89518,0.23964,0.1067,0.06457,0.05224,1.09656,3.59895,1.19893,0.000105035,0.000105035,0.000105035
35,786.203,0.77047,1.0673,0.90082,0.16233,0.11967,0.07969,0.06428,1.10879,3.57089,1.19172,0.00010349,0.00010349,0.00010349
36,807.572,0.77534,1.04893,0.89771,0.22597,0.10334,0.06694,0.05293,1.1085,3.6417,1.20254,0.000101946,0.000101946,0.000101946
37,828.771,0.76769,1.03939,0.90125,0.21601,0.11873,0.08659,0.06598,1.11243,3.63147,1.19174,0.000100402,0.000100402,0.000100402
38,850.109,0.76607,1.04301,0.89272,0.24948,0.10184,0.06505,0.05052,1.11796,3.61693,1.20401,9.88572e-05,9.88572e-05,9.88572e-05
39,871.328,0.77119,1.05893,0.89958,0.15389,0.1191,0.07642,0.06136,1.12287,3.56259,1.20152,9.73128e-05,9.73128e-05,9.73128e-05
40,892.519,0.75576,0.99706,0.88819,0.1464,0.12394,0.07831,0.06182,1.13061,3.50063,1.2179,9.57684e-05,9.57684e-05,9.57684e-05
41,914.383,0.75293,1.01216,0.90084,0.19579,0.10343,0.08186,0.06419,1.1339,3.59433,1.22052,9.4224e-05,9.4224e-05,9.4224e-05
42,935.945,0.77578,1.02141,0.90027,0.17377,0.105,0.07782,0.06127,1.11286,3.67534,1.20884,9.26796e-05,9.26796e-05,9.26796e-05
43,957.258,0.73772,0.97104,0.89048,0.18159,0.10066,0.07354,0.05826,1.10572,3.57327,1.20353,9.11352e-05,9.11352e-05,9.11352e-05
44,978.688,0.75032,0.98495,0.88984,0.21782,0.1187,0.07774,0.06254,1.12424,3.6038,1.20599,8.95908e-05,8.95908e-05,8.95908e-05
45,1000.1,0.74936,0.9936,0.8892,0.34046,0.10453,0.08099,0.06655,1.1175,3.61892,1.21359,8.80464e-05,8.80464e-05,8.80464e-05
