epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.863,1.14638,5.42086,1.1113,0.00447,0.00916,0.00255,0.00216,0.97596,4.65717,1.05727,5.13067e-05,5.13067e-05,5.13067e-05
2,50.6667,1.17243,5.04713,1.06765,0.01381,0.34068,0.01881,0.01456,1.1017,4.12792,1.1175,0.000102284,0.000102284,0.000102284
3,72.3882,1.14719,4.63013,1.05055,0.223,0.08432,0.01966,0.01478,1.13068,3.83685,1.15009,0.000152232,0.000152232,0.000152232
4,94.7806,1.17492,4.23083,1.06466,0.19857,0.06167,0.02019,0.01608,1.13253,3.64722,1.15795,0.000151367,0.000151367,0.000151367
5,116.316,1.15513,3.96416,1.0633,0.29536,0.07343,0.02654,0.02068,1.13439,3.54788,1.16022,0.000149822,0.000149822,0.000149822
6,137.659,1.14913,3.76482,1.05711,0.39417,0.08837,0.03523,0.02725,1.13281,3.46624,1.19244,0.000148278,0.000148278,0.000148278
7,159.337,1.14988,3.61287,1.07037,0.28805,0.10214,0.05629,0.04307,1.13402,3.33887,1.1623,0.000146734,0.000146734,0.000146734
8,181.386,1.11582,3.51932,1.05765,0.2579,0.11456,0.04222,0.03004,1.11419,3.28708,1.14068,0.000145189,0.000145189,0.000145189
9,203.037,1.09294,3.39051,1.03545,0.34485,0.09595,0.04884,0.03965,1.09738,3.28955,1.14488,0.000143645,0.000143645,0.000143645
10,224.188,1.06971,3.26417,1.02717,0.29366,0.08363,0.04727,0.03834,1.06434,3.22128,1.11809,0.0001421,0.0001421,0.0001421
11,245.917,1.08111,3.19618,1.03393,0.29668,0.09019,0.04962,0.03909,1.08946,3.13952,1.14207,0.000140556,0.000140556,0.000140556
12,266.839,1.04824,3.13761,1.01372,0.26909,0.09314,0.04684,0.03654,1.08054,3.13942,1.13848,0.000139012,0.000139012,0.000139012
13,288.18,1.05803,3.09552,1.01642,0.34805,0.08994,0.05112,0.04029,1.06626,3.09239,1.14126,0.000137467,0.000137467,0.000137467
14,309.173,1.01637,2.96785,1.00871,0.29807,0.09635,0.05273,0.04116,1.06396,3.08734,1.1283,0.000135923,0.000135923,0.000135923
15,330.213,1.05802,2.89997,1.01113,0.27517,0.10625,0.05508,0.04267,1.07032,3.05842,1.12892,0.000134378,0.000134378,0.000134378
16,351.307,1.03333,2.90198,1.0127,0.22985,0.1203,0.05655,0.04375,1.06225,3.03267,1.13071,0.000132834,0.000132834,0.000132834
17,372.689,1.01489,2.77872,0.9984,0.23721,0.09394,0.06044,0.0476,1.06142,3.02443,1.12978,0.00013129,0.00013129,0.00013129
18,394.062,1.01618,2.77706,0.99869,0.29005,0.09206,0.06585,0.05084,1.05595,3.00344,1.12855,0.000129745,0.000129745,0.000129745
19,415.218,1.0298,2.7658,0.98817,0.33981,0.11192,0.06728,0.05177,1.07847,3.07444,1.14121,0.000128201,0.000128201,0.000128201
20,436.677,0.97483,2.68063,0.98078,0.35309,0.10562,0.06181,0.04742,1.05858,3.09377,1.1374,0.000126656,0.000126656,0.000126656
21,457.95,0.97825,2.61087,0.99447,0.27292,0.11274,0.05989,0.04622,1.07498,3.02429,1.14429,0.000125112,0.000125112,0.000125112
22,479.307,0.98124,2.60268,0.98816,0.23647,0.11324,0.06732,0.0523,1.06749,3.07375,1.1486,0.000123568,0.000123568,0.000123568
23,501.024,0.99788,2.57924,0.99332,0.26647,0.12928,0.06262,0.04789,1.06427,3.03749,1.15405,0.000122023,0.000122023,0.000122023
24,522.394,0.98207,2.51145,0.97976,0.34448,0.10897,0.07235,0.05729,1.06734,3.07942,1.15164,0.000120479,0.000120479,0.000120479
25,544.137,0.97446,2.44641,0.96745,0.31912,0.12385,0.06398,0.04975,1.06706,3.11249,1.16982,0.000118934,0.000118934,0.000118934
26,565.342,0.96938,2.39119,0.96723,0.2622,0.08918,0.05873,0.0451,1.06586,3.02486,1.14248,0.00011739,0.00011739,0.00011739
27,586.512,0.96269,2.36767,0.97576,0.24453,0.1247,0.07007,0.05473,1.08978,3.00614,1.1668,0.000115846,0.000115846,0.000115846
28,607.472,0.96659,2.39488,0.97977,0.32935,0.09681,0.06704,0.05304,1.06527,3.04254,1.14012,0.000114301,0.000114301,0.000114301
29,628.494,0.96425,2.30849,0.96819,0.26221,0.10406,0.06616,0.05174,1.08427,3.08137,1.14844,0.000112757,0.000112757,0.000112757
30,650.109,0.95767,2.28318,0.97138,0.24605,0.16104,0.07191,0.05669,1.07643,3.00767,1.16908,0.000111212,0.000111212,0.000111212
31,671.003,0.94435,2.22256,0.96568,0.19833,0.12602,0.06441,0.05032,1.08808,3.09186,1.17691,0.000109668,0.000109668,0.000109668
32,692.44,0.94785,2.18798,0.96401,0.20203,0.12519,0.06766,0.05317,1.06704,3.06379,1.14635,0.000108124,0.000108124,0.000108124
33,713.3,0.92645,2.16535,0.96073,0.26414,0.1214,0.07141,0.0557,1.05863,3.06212,1.13933,0.000106579,0.000106579,0.000106579
34,734.43,0.95521,2.1362,0.96014,0.20126,0.12224,0.06091,0.04616,1.09126,3.14035,1.17714,0.000105035,0.000105035,0.000105035
35,755.834,0.91594,2.12868,0.95275,0.24584,0.13395,0.06949,0.05519,1.07151,3.09483,1.14509,0.00010349,0.00010349,0.00010349
36,776.958,0.91996,2.08312,0.95306,0.20036,0.10852,0.06523,0.05231,1.05196,3.09231,1.15252,0.000101946,0.000101946,0.000101946
37,798.258,0.91191,2.06315,0.95564,0.28692,0.12618,0.07475,0.05676,1.06461,3.12457,1.15552,0.000100402,0.000100402,0.000100402
38,819.468,0.91394,2.07368,0.94627,0.19557,0.13628,0.0624,0.04853,1.05129,3.10597,1.14815,9.88572e-05,9.88572e-05,9.88572e-05
39,840.612,0.92068,2.08049,0.95216,0.24336,0.11949,0.06793,0.05109,1.06703,3.11834,1.15523,9.73128e-05,9.73128e-05,9.73128e-05
40,861.852,0.91517,1.93721,0.94794,0.2701,0.12133,0.07251,0.05632,1.06951,3.15381,1.15884,9.57684e-05,9.57684e-05,9.57684e-05
41,883.364,0.89781,1.94493,0.95387,0.22783,0.11631,0.06667,0.05233,1.06206,3.16156,1.15462,9.4224e-05,9.4224e-05,9.4224e-05
42,904.879,0.92298,1.90715,0.95655,0.25357,0.11791,0.06139,0.04617,1.06661,3.2148,1.14991,9.26796e-05,9.26796e-05,9.26796e-05
43,926.022,0.86887,1.87673,0.9389,0.25957,0.13474,0.06438,0.0501,1.08093,3.18459,1.16362,9.11352e-05,9.11352e-05,9.11352e-05
44,947.298,0.90235,1.87212,0.94502,0.21878,0.12939,0.07143,0.05578,1.07571,3.17263,1.16592,8.95908e-05,8.95908e-05,8.95908e-05
45,968.529,0.87619,1.8685,0.93493,0.20796,0.14054,0.06425,0.04981,1.07494,3.22884,1.16033,8.80464e-05,8.80464e-05,8.80464e-05
46,989.738,0.87762,1.78385,0.93943,0.20903,0.11765,0.05547,0.04441,1.09886,3.33655,1.17771,8.6502e-05,8.6502e-05,8.6502e-05
47,1011.05,0.89497,1.8403,0.94573,0.19813,0.11145,0.0596,0.04651,1.07656,3.24924,1.16318,8.49576e-05,8.49576e-05,8.49576e-05
48,1032.73,0.88716,1.79798,0.9409,0.20461,0.12163,0.06681,0.05267,1.09328,3.21567,1.18667,8.34132e-05,8.34132e-05,8.34132e-05
49,1054.96,0.87085,1.77425,0.93909,0.22713,0.12769,0.07063,0.0576,1.09145,3.28231,1.17873,8.18688e-05,8.18688e-05,8.18688e-05
