epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.132,1.13957,5.65299,1.13818,0.00226,0.00474,0.00129,0.0012,1.07738,4.78614,1.00173,5.13067e-05,5.13067e-05,5.13067e-05
2,140.642,1.13367,5.29864,1.07024,0.01117,0.29902,0.02092,0.01591,1.21353,4.30141,1.07219,9.30793e-05,9.30793e-05,9.30793e-05
3,162.933,1.14208,4.96012,1.07934,0.39539,0.04314,0.0333,0.02661,1.24244,3.9421,1.10142,0.000124556,0.000124556,0.000124556
4,184.464,1.14051,4.65962,1.07731,0.37883,0.05829,0.0244,0.01955,1.2309,3.75507,1.09779,0.000109668,0.000109668,0.000109668
5,206.725,1.11508,4.43325,1.0646,0.37259,0.09047,0.04278,0.03582,1.20933,3.58504,1.09693,9.4224e-05,9.4224e-05,9.4224e-05
6,228.871,1.09482,4.28799,1.05945,0.34793,0.07698,0.04785,0.0401,1.22987,3.47391,1.11966,7.878e-05,7.878e-05,7.878e-05
7,251.95,1.08423,4.15352,1.05331,0.38716,0.09855,0.05172,0.0423,1.19986,3.37361,1.10236,6.3336e-05,6.3336e-05,6.3336e-05
8,274.784,1.07476,4.07603,1.04319,0.38,0.09212,0.05079,0.04082,1.17002,3.33504,1.08776,4.7892e-05,4.7892e-05,4.7892e-05
9,296.434,1.06346,3.9926,1.04414,0.38309,0.09528,0.05928,0.04964,1.16221,3.31195,1.08657,3.2448e-05,3.2448e-05,3.2448e-05
10,318.302,1.03714,3.93278,1.02772,0.38403,0.0894,0.06165,0.05104,1.16731,3.27738,1.08469,1.7004e-05,1.7004e-05,1.7004e-05
