epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2366,0.77122,1.42634,0.91651,0.42046,0.15378,0.15162,0.12559,1.13069,2.94136,1.0861,5.13067e-05,5.13067e-05,5.13067e-05
2,81.0229,0.77185,1.32089,0.90073,0.46955,0.15505,0.14773,0.12409,1.13011,2.9869,1.08829,0.000101261,0.000101261,0.000101261
3,115.537,0.73733,1.2953,0.90195,0.50173,0.15161,0.13138,0.1073,1.1366,3.03845,1.09093,0.000149157,0.000149157,0.000149157
4,149.203,0.72434,1.26226,0.90189,0.38629,0.15395,0.13506,0.1095,1.14,3.08846,1.09939,0.000146734,0.000146734,0.000146734
5,174.585,0.75717,1.29491,0.9046,0.46186,0.16799,0.14749,0.11468,1.12917,3.06106,1.09049,0.000143645,0.000143645,0.000143645
6,198.246,0.7702,1.27949,0.90664,0.41277,0.16691,0.14986,0.12285,1.16454,3.00953,1.09769,0.000140556,0.000140556,0.000140556
7,231.923,0.76035,1.28498,0.90496,0.43326,0.15032,0.13131,0.10539,1.15124,2.97976,1.0877,0.000137467,0.000137467,0.000137467
8,264.648,0.77767,1.2682,0.90963,0.40358,0.17063,0.14213,0.11703,1.16607,3.03586,1.10433,0.000134378,0.000134378,0.000134378
9,286.218,0.75191,1.25981,0.90832,0.50044,0.14144,0.13749,0.10867,1.17754,3.07045,1.10689,0.00013129,0.00013129,0.00013129
10,307.872,0.75666,1.22924,0.90448,0.32299,0.17404,0.13773,0.11152,1.16837,3.0696,1.10583,0.000128201,0.000128201,0.000128201
11,330.032,0.79445,1.28723,0.9091,0.32328,0.16582,0.12627,0.10292,1.14925,3.08671,1.10978,0.000125112,0.000125112,0.000125112
12,352.153,0.75557,1.23305,0.90162,0.33334,0.1457,0.14383,0.1189,1.15974,3.06365,1.10577,0.000122023,0.000122023,0.000122023
13,379.543,0.77768,1.23492,0.90786,0.44117,0.14434,0.12648,0.1038,1.15067,3.03349,1.106,0.000118934,0.000118934,0.000118934
14,413.423,0.75699,1.22942,0.91118,0.475,0.1658,0.14461,0.1157,1.166,3.01971,1.11067,0.000115846,0.000115846,0.000115846
15,436.351,0.73598,1.18655,0.90357,0.3419,0.17179,0.13213,0.10663,1.16697,3.05252,1.10601,0.000112757,0.000112757,0.000112757
16,458.553,0.77079,1.21723,0.90678,0.43881,0.1589,0.14879,0.12123,1.14713,3.03006,1.10079,0.000109668,0.000109668,0.000109668
17,480.446,0.76096,1.20069,0.90586,0.34743,0.17867,0.14134,0.11372,1.13761,3.11292,1.09873,0.000106579,0.000106579,0.000106579
18,501.691,0.76778,1.22358,0.90902,0.40182,0.16969,0.14911,0.12316,1.14851,2.99621,1.11436,0.00010349,0.00010349,0.00010349
